"NumerodoAluno";"SIUPTAnoLetivo";"kMotivoDeAnulacaoSuspens";"Resultado";"snome";"estado";"TextoRequerimento";"tamanho";"Inicio";"Filtro_A";"filtro_B";"Categoria"
"41324";"2019/2020";"";"Deferido";"";"Despachado";"INTERNACAO NO HOSPITAL COM DOENCA CONTAGIOSA";"";"";"";"";"MOTIVOS DE SAUDE"
"6668";"2023/2024";"NULL";"Deferido";"NULL";"Despachado";"DESINTERESSE PELO APRENDIZADO";"0";"NULL";"NULL";"NULL";"MOTIVACAO PESSOAL"
"39002";"2017/2018";"NULL";"Deferido";"NULL";"Despachado";"ANULACAO DE MATRICULA MOTIVO: POR PROBLEMAS ECONOMICOS SEM CONDICOES PARA SUPORTAR AS PROPINAS EM 2017/2018";"0";"Anulação de matricula Motivo";"ANULACAO";"Motivo financeiro";"MOTIVOS FINANCEIROS"
"38951";"2017/2018";"NULL";"Deferido";"NULL";"Despachado";"ANULACAO MATRICULA MOTIVO: POR TER INGRESSADO NA PUBLICA.";"0";"Anulaçao matricula Motivo";"ANULACAO";"Mudança Instituição";"OPCAO POR OUTRA UNIVERSIDADE A QUE TAMBEM ME CANDIDATEI"
"39060";"2017/2018";"NULL";"Deferido";"NULL";"Despachado";"ANULACAO MOTIVO: FUI COLOCADO NA PUBLICA";"0";"Anulaçao Motivo";"ANULACAO";"Mudança Instituição";"OPCAO POR OUTRA UNIVERSIDADE A QUE TAMBEM ME CANDIDATEI"
"39078";"2017/2018";"NULL";"Deferido";"NULL";"Despachado";"ANULACAO MOTIVO: ENTREI NA PUBLICA";"0";"Anulação Motivo";"ANULACAO";"Mudança Instituição";"OPCAO POR OUTRA UNIVERSIDADE A QUE TAMBEM ME CANDIDATEI"
"38810";"2017/2018";"NULL";"Deferido";"NULL";"Despachado";"ANULACAO DE MATRICULA MOTIVO: ALTERACAO DA SITUACAO ECONOMICA DO AGREGADO FAMILIAR QUE IMPOSSIBILITA A CONTINUIDADE OS ESTUDOS. SOLICITO TAMBEM A DEVOLUCAO DO PAGAMENTO REALIZADO(1º SEMESTRE) NO VALOR DE 1837.50.";"0";"Anulação de matricula Motivo";"ANULACAO";"Motivação Pessoal";"MOTIVACAO PESSOAL"
"39145";"2017/2018";"NULL";"Deferido";"NULL";"Despachado";"PEDIDO DE ANULACAO DE MATRICULA SEM CUSTO MOTIVO: BOM DIA, VENHO POR ESTE MEIO SOLICITAR A ANULACAO DA MATRICULA QUE EFETUEI E QUE POR FAVOR A ANULACAO SEJA EFETUADA SEM QUALQUER CUSTO ADICIONAL, O MOTIVO PRENDE-SE COM O FACTO DE OS PAIS NAO CONSEGUIREM TER DISPONIBILIDADE FINANCEIRA PARA PAGAMENTO DAS PROPINAS E ALOJAMENTO, POR ESSE FACTO VOU TENTAR ARRANJAR TRABALHO DURANTE ESTE ANO LETIVO. AGRADECO DESDE JA A MELHOR COMPREENSAO E FICO AGUARDAR A ANULACAO DA MATRICULA SEM DEBITO DE QUALQUER CUSTO ADICIONAL. ATENTAMENTE, NUNO TEIXEIRA";"0";"Pedido de anulação de matricula sem custo  Motivo";"PEDIDO";"Motivo financeiro";"MOTIVOS FINANCEIROS"
"39074";"2017/2018";"NULL";"Deferido";"NULL";"Despachado";"ANULACAO DA MATRICULA DEVIDO A PROBLEMAS FINANCEIROS MOTIVO: A ANULACAO DA MATRICULA DEVE-SE A DIFICULDADES FINANCEIRAS QUE SURGIRAM POUCO APOS A MINHA INSCRICAO NA UPT, IMPOSSIBILITANDO ASSIM O PAGAMENTO DAS PROPINAS.";"0";"Anulação da matrícula devido a problemas financeiros Motivo";"ANULACAO";"Motivo financeiro";"MOTIVOS FINANCEIROS"
"39113";"2017/2018";"NULL";"Indeferido";"NULL";"Despachado";"ANULACAO DA MATRICULA MOTIVO: INSUFICIENCIA ECONOMICA PARA PAGAR AS PROPINAS E O ALOJAMENTO.";"0";"Anulação da matrícula  Motivo";"ANULACAO";"Motivação Pessoal";"MOTIVACAO PESSOAL"
"39113";"2017/2018";"NULL";"Deferido";"NULL";"Despachado";"ANULACAO DA MATRICULA MOTIVO: INSUFICIENCIA ECONOMICA PARA PAGAR AS PROPINAS E O ALOJAMENTO.";"0";"Anulação da matrícula  Motivo";"ANULACAO";"Motivação Pessoal";"MOTIVACAO PESSOAL"
"39203";"2017/2018";"NULL";"Deferido";"NULL";"Despachado";"ENTROU NA UC MOTIVO: ENTROU NA UC SOLICITO O REEMBOLSO DOS VALORES PAGOS, UMA VEZ QUE NAO USUFRUI DE NADA.";"0";"Entrou na UC Motivo";"ENTROU";"Mudança Instituição";"OPCAO POR OUTRA UNIVERSIDADE A QUE TAMBEM ME CANDIDATEI"
"38894";"2017/2018";"NULL";"Deferido";"NULL";"Despachado";"ALTERACAO DE UNIVERSIDADE MOTIVO: ALTERACAO DE UNIVERSIDADE";"0";"Alteração de Universidade Motivo";"ALTERACAO";"Mudança Instituição";"OPCAO POR OUTRA UNIVERSIDADE A QUE TAMBEM ME CANDIDATEI"
"39064";"2017/2018";"NULL";"Indeferido";"NULL";"Despachado";"CONGELAMENTO DE MATRICULA MOTIVO: VENHO POR ESTE MEIO PEDIR AO EXCELENTISSIMO REITOR, QUE ME POSSIBILITE O CONGELAMENTO DA MINHA MATRICULA POR MOTIVOS DE SAUDE DE UM FAMILIAR QUE SE ENCONTRA COM CANCRO. COMO TAL, NAO TENHO CAPACIDADES PSICOLOGICAS PARA CONCLUIR COM RENDIMENTO ESTE ANO LETIVO. AGRADECO ATENCIOSAMENTE A SUA ATENCAO.";"0";"Congelamento de matrícula  Motivo";"CONGELAMENTO";"Motivação Pessoal";"MOTIVACAO PESSOAL"
"39130";"2017/2018";"NULL";"Deferido";"NULL";"Despachado";"A ATT. EXMA. DIRECAO MOTIVO: VENHO SOLICITAR O FAVOR DE ME ANULAREM A MATRICULA PELOS SEGUINTES MOTIVOS: - NAO ME SINTO MINIMAMENTE VOCACIONADA PARA CONTINUAR A ESTUDAR.SINTO-ME COMPLETAMENTE DESMOTIVADA.  - ESTOU A PROCURAR EMPREGO PARA COMECAR A TRABALHAR. - A MINHA FAMILIA ESTA A LIDAR COM PROBLEMAS FINANCEIROS, POIS A MINHA MAE ESTA COM REDUCAO DE HORARIO DE TRABALHO E EM GRANDE RISCO DE FICAR DESEMPREGADA DENTRO DE 2/3 MESES. PECO A V/COMPREENSAO E A MELHOR ATENCAO PARA O ASSUNTO. - JA NAO QUERO TER DE PAGAR A PROXIMA PROPINA (MAIO) MUITO OBRIGADO";"0";"À ATT. EXMA. DIREÇÃO Motivo";"A";"Motivo financeiro";"MOTIVOS FINANCEIROS"
